session,trialno,difficulty,accuracy,period_in_trial,step_reached,durPeriodTotal,FixNb,FixNbInL,FixNbInR,FixNbInT,FixNbNoAOI,FixTotDurInL,FixTotDurInR,FixTotDurInT,FixTotDurInNoAOI,LookNb,LookNbInL,LookNbInR,LookNbInT,LookNbNoAOI,LookTotDurInL,LookTotDurInR,LookTotDurInT,NbSwitches,objL,objR,objT,sideChosen,sideMatch,timePeriodStarts,timePeriodEnds
curE074a,60,Easy,0.5,decision,3,2750,8,0,0,8,0,0,0,1450,0,1,0,0,1,0,0,0,1664,0,F-1-A-1.png,O-4-B-2.png,F-1-A-1.png,right,timedout,3806,13840
curE074a,60,Easy,0.5,feedback,3,4534,9,4,1,4,0,888,216,2766,0,5,2,1,2,0,976,216,2888,2,F-1-A-1.png,O-4-B-2.png,F-1-A-1.png,right,timedout,NaN,NaN
curE075a,7,Easy,0,exploration,3,2478,7,2,3,1,1,534,666,460,108,2,1,1,0,0,598,732,534,2,F-4-E-4.png,A-3-B-4.png,A-3-B-4.png,left,right,1528,5856
curE075a,7,Easy,0,decision,3,2708,6,2,0,4,0,578,0,1660,0,3,1,0,2,0,638,0,1802,1,F-4-E-4.png,A-3-B-4.png,A-3-B-4.png,left,right,5858,7172
curE075a,7,Easy,0,feedback,3,4526,10,4,0,5,1,942,0,2176,282,3,1,0,2,0,604,0,1700,1,F-4-E-4.png,A-3-B-4.png,A-3-B-4.png,left,right,NaN,NaN
curE075a,16,Easy,0,exploration,3,9698,15,7,8,0,0,2482,3782,0,0,5,3,2,0,0,2748,4172,0,3,V-3-B-2.png,A-2-F-2.png,A-2-F-2.png,left,right,1456,4336
curE075a,16,Easy,0,decision,3,1414,3,1,0,2,0,526,0,790,12,1,0,0,1,0,526,0,876,0,V-3-B-2.png,A-2-F-2.png,A-2-F-2.png,left,right,4338,8702
curE075a,16,Easy,0,feedback,3,4536,9,1,0,8,0,762,0,2938,0,3,1,0,2,0,800,0,3304,1,V-3-B-2.png,A-2-F-2.png,A-2-F-2.png,left,right,NaN,NaN
curE075a,17,Easy,0,exploration,3,3076,8,5,2,1,0,1458,678,472,0,3,2,1,0,0,1610,720,536,2,F-1-A-1.png,A-1-C-3.png,A-1-C-3.png,left,right,2526,12222
curE075a,17,Easy,0,decision,3,1450,3,1,0,2,0,528,0,828,6,1,0,0,1,0,528,0,916,0,F-1-A-1.png,A-1-C-3.png,A-1-C-3.png,left,right,12224,13636
curE075a,17,Easy,0,feedback,3,5234,11,4,1,1,5,828,594,650,2146,4,2,1,1,0,926,594,650,2,F-1-A-1.png,A-1-C-3.png,A-1-C-3.png,left,right,NaN,NaN
curE075a,18,Easy,1,exploration,3,2944,7,4,2,1,0,1428,534,468,0,3,2,1,0,0,1586,584,534,2,F-2-G-4.png,V-2-H-2.png,F-2-G-4.png,left,left,1550,4624
curE075a,18,Easy,1,decision,3,4732,5,1,0,4,0,140,0,592,0,2,1,0,1,0,140,0,930,1,F-2-G-4.png,V-2-H-2.png,F-2-G-4.png,left,left,4626,6074
curE075a,21,Easy,0,exploration,3,9374,19,11,6,1,1,2942,1254,466,178,5,3,2,0,0,3472,1472,528,5,A-2-F-4.png,F-3-G-4.png,F-3-G-4.png,left,right,1480,4158
curE075a,21,Easy,0,decision,3,6398,15,2,0,11,2,462,0,4112,492,5,1,0,4,0,506,0,4602,1,A-2-F-4.png,F-3-G-4.png,F-3-G-4.png,left,right,4160,9990
curE075a,21,Easy,0,feedback,3,5236,14,4,0,4,6,1196,0,1244,1576,4,1,0,3,0,1336,0,1276,1,A-2-F-4.png,F-3-G-4.png,F-3-G-4.png,left,right,NaN,NaN
curE075a,22,Easy,1,exploration,3,2814,7,3,3,1,0,858,756,476,0,3,2,1,0,0,950,874,536,3,A-4-I-1.png,O-2-J-1.png,A-4-I-1.png,left,left,1518,10890
curE075a,22,Easy,1,decision,3,1182,3,1,0,2,0,538,0,572,4,1,0,0,1,0,538,0,640,0,A-4-I-1.png,O-2-J-1.png,A-4-I-1.png,left,left,10892,17288
curE075a,22,Easy,1,feedback,3,5236,12,1,0,5,6,482,0,1594,1808,5,1,0,4,0,482,0,1666,1,A-4-I-1.png,O-2-J-1.png,A-4-I-1.png,left,left,NaN,NaN
curE075a,23,Easy,1,exploration,3,2332,4,3,0,1,0,1076,0,986,0,1,1,0,0,0,1208,0,1098,1,O-3-G-3.png,V-3-B-1.png,O-3-G-3.png,left,left,1582,4394
curE075a,23,Easy,1,decision,3,682,2,2,0,0,0,276,0,0,0,1,1,0,0,0,392,0,0,1,O-3-G-3.png,V-3-B-1.png,O-3-G-3.png,left,left,4396,5576
curE075a,23,Easy,1,feedback,3,5236,9,0,0,3,6,0,0,1612,2348,2,0,0,2,0,0,0,1640,0,O-3-G-3.png,V-3-B-1.png,O-3-G-3.png,left,left,NaN,NaN
curE075a,24,Medium,1,exploration,3,8998,15,9,5,1,0,2018,1228,460,0,6,3,3,0,0,2320,1322,542,4,F-1-A-1.png,F-4-E-3.png,F-1-A-1.png,left,left,1378,3708
curE075a,24,Medium,1,decision,3,4114,9,2,0,7,0,612,0,2736,0,3,1,0,2,0,684,0,3188,1,F-1-A-1.png,F-4-E-3.png,F-1-A-1.png,left,left,3710,4390
curE075a,24,Medium,1,feedback,3,4536,11,4,0,6,1,766,0,1878,802,4,1,0,3,0,990,0,2078,1,F-1-A-1.png,F-4-E-3.png,F-1-A-1.png,left,left,NaN,NaN
curE075a,25,Medium,0,exploration,3,2326,5,3,0,2,0,696,0,1314,0,2,1,0,1,0,790,0,1400,1,A-4-I-2.png,A-2-F-3.png,A-2-F-3.png,left,right,1462,10458
curE075a,25,Medium,0,decision,3,1800,4,1,0,3,0,472,0,954,0,1,0,0,1,0,544,0,1102,0,A-4-I-2.png,A-2-F-3.png,A-2-F-3.png,left,right,10460,14572
curE075a,25,Medium,0,feedback,3,4540,5,3,2,0,0,962,3014,0,0,2,1,1,0,0,1074,3036,0,2,A-4-I-2.png,A-2-F-3.png,A-2-F-3.png,left,right,NaN,NaN
curE075a,29,Easy,1,exploration,3,2932,8,5,2,1,0,1114,780,468,0,3,2,1,0,0,1356,816,530,2,V-4-F-2.png,A-1-D-1.png,V-4-F-2.png,left,left,1514,6376
curE075a,29,Easy,1,decision,3,2350,5,0,1,4,0,0,452,1678,0,1,0,0,1,0,0,530,1814,0,V-4-F-2.png,A-1-D-1.png,V-4-F-2.png,left,left,6378,7792
curE075a,29,Easy,1,feedback,3,5238,8,0,0,5,3,0,0,2644,1820,2,0,0,2,0,0,0,2528,0,V-4-F-2.png,A-1-D-1.png,V-4-F-2.png,left,left,NaN,NaN
curE075a,30,Easy,1,exploration,3,4024,10,4,3,3,0,944,1004,1130,0,5,2,1,2,0,1048,1082,1208,2,V-1-G-2.png,A-3-B-4.png,A-3-B-4.png,right,right,1440,4370
curE075a,30,Easy,1,decision,3,10298,22,1,0,16,5,346,0,6566,1002,3,0,0,3,0,368,0,7400,0,V-1-G-2.png,A-3-B-4.png,A-3-B-4.png,right,right,4372,6720
curE075a,30,Easy,1,feedback,3,5234,13,2,0,2,9,298,0,694,2738,2,1,0,1,0,396,0,754,1,V-1-G-2.png,A-3-B-4.png,A-3-B-4.png,right,right,NaN,NaN
curE075a,31,Medium,1,exploration,3,2414,6,0,5,1,0,0,1624,422,0,1,0,1,0,0,0,1836,544,1,F-4-E-1.png,F-3-A-1.png,F-4-E-1.png,left,left,1492,5514
curE075a,31,Medium,1,decision,3,1598,4,0,2,2,0,0,532,624,0,2,0,1,1,0,0,588,722,1,F-4-E-1.png,F-3-A-1.png,F-4-E-1.png,left,left,5516,15812
curE075a,31,Medium,1,feedback,3,4536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F-4-E-1.png,F-3-A-1.png,F-4-E-1.png,left,left,NaN,NaN
curE075a,32,Medium,0,exploration,3,2498,6,2,2,1,1,492,716,476,238,2,1,1,0,0,520,808,540,2,O-2-J-1.png,O-1-I-4.png,O-2-J-1.png,right,left,1566,3978
curE075a,32,Medium,0,decision,3,1284,4,2,0,2,0,388,0,634,0,1,0,0,1,0,510,0,692,0,O-2-J-1.png,O-1-I-4.png,O-2-J-1.png,right,left,3980,5576
curE075a,32,Medium,0,feedback,3,5252,9,2,0,5,2,752,0,2590,1146,3,1,0,2,0,812,0,2754,1,O-2-J-1.png,O-1-I-4.png,O-2-J-1.png,right,left,NaN,NaN
curE075a,33,Medium,1,exploration,3,2810,7,1,4,1,1,362,1208,450,158,3,1,2,0,0,362,1350,528,3,O-4-B-1.png,O-3-H-2.png,O-4-B-1.png,left,left,1530,4026
curE075a,33,Medium,1,decision,3,5032,11,2,0,9,0,416,0,3114,0,2,1,0,1,0,498,0,3756,1,O-4-B-1.png,O-3-H-2.png,O-4-B-1.png,left,left,4028,5310
curE075a,33,Medium,1,feedback,3,4536,7,4,0,3,0,1792,0,2036,0,3,1,0,2,0,1988,0,2088,1,O-4-B-1.png,O-3-H-2.png,O-4-B-1.png,left,left,NaN,NaN
curE075a,34,Medium,0,exploration,3,4960,11,8,2,1,0,2220,550,320,54,3,1,1,1,0,2532,612,320,2,V-4-F-1.png,V-2-A-4.png,V-2-A-4.png,left,right,2036,4844
curE075a,34,Medium,0,decision,3,1966,5,1,0,4,0,462,0,1114,0,1,0,0,1,0,530,0,1330,0,V-4-F-1.png,V-2-A-4.png,V-2-A-4.png,left,right,4846,9876
curE075a,34,Medium,0,feedback,3,4540,10,1,0,7,2,170,0,2360,878,3,1,0,2,0,170,0,2648,1,V-4-F-1.png,V-2-A-4.png,V-2-A-4.png,left,right,NaN,NaN
curE075a,35,Medium,0,exploration,3,7780,13,6,6,1,0,2252,3630,428,0,5,2,3,0,0,2474,3852,506,3,V-1-G-1.png,V-3-B-1.png,V-3-B-1.png,left,right,1398,6356
curE075a,35,Medium,0,decision,3,2550,3,1,0,2,0,536,0,1950,4,1,0,0,1,0,536,0,2010,0,V-1-G-1.png,V-3-B-1.png,V-3-B-1.png,left,right,6358,8322
curE075a,35,Medium,0,feedback,3,4536,11,5,0,6,0,1674,0,1904,0,3,2,0,1,0,1798,0,2146,1,V-1-G-1.png,V-3-B-1.png,V-3-B-1.png,left,right,NaN,NaN
curE075a,43,Easy,1,exploration,3,6708,12,1,8,1,2,508,4296,454,574,4,1,3,0,0,508,4588,528,2,F-3-H-3.png,A-3-F-3.png,F-3-H-3.png,left,left,1528,11738
curE075a,43,Easy,1,decision,3,5932,9,0,1,8,0,0,474,4484,122,1,0,0,1,0,0,564,5018,0,F-3-H-3.png,A-3-F-3.png,F-3-H-3.png,left,left,11740,14936
curE075a,43,Easy,1,feedback,3,5236,12,0,2,5,5,0,620,1398,1818,4,0,1,3,0,0,676,1532,1,F-3-H-3.png,A-3-F-3.png,F-3-H-3.png,left,left,NaN,NaN
curE075a,44,Easy,1,exploration,2,8562,22,11,8,1,2,2706,3500,450,296,6,3,3,0,0,3156,3788,534,6,F-4-E-2.png,O-1-D-1.png,O-1-D-1.png,right,right,1608,8314
curE075a,44,Easy,1,decision,2,10038,17,0,0,15,2,20,36,6140,502,4,0,0,4,0,20,36,6704,0,F-4-E-2.png,O-1-D-1.png,O-1-D-1.png,right,right,8316,14246
curE075a,45,Medium,0.5,exploration,3,2332,5,2,2,1,0,430,1110,508,0,2,1,1,0,0,458,1180,578,2,F-2-G-4.png,F-1-A-4.png,F-1-A-4.png,left,timedout,1464,10024
curE075a,45,Medium,0.5,decision,3,1566,3,1,0,2,0,538,0,972,6,1,0,0,1,0,538,0,1022,0,F-2-G-4.png,F-1-A-4.png,F-1-A-4.png,left,timedout,10026,20060
curE075a,45,Medium,0.5,feedback,3,4542,9,2,4,3,0,912,1934,904,0,3,1,1,1,0,952,2096,1008,2,F-2-G-4.png,F-1-A-4.png,F-1-A-4.png,left,timedout,NaN,NaN
curE075a,46,Medium,0,exploration,3,4626,14,5,8,1,0,1136,2154,474,126,4,2,2,0,0,1304,2310,532,3,O-2-J-1.png,O-1-C-3.png,O-1-C-3.png,left,right,1580,3910
curE075a,46,Medium,0,decision,3,5180,12,1,0,11,0,276,0,3742,0,3,1,0,2,0,276,28,4294,1,O-2-J-1.png,O-1-C-3.png,O-1-C-3.png,left,right,3912,5476
curE075a,46,Medium,0,feedback,3,5236,7,0,0,2,5,0,0,830,1462,1,0,0,1,0,0,0,892,0,O-2-J-1.png,O-1-C-3.png,O-1-C-3.png,left,right,NaN,NaN
curE075a,47,Medium,1,exploration,2,2410,5,4,0,1,0,1410,0,462,0,1,1,0,0,0,1564,0,536,1,V-1-A-4.png,V-2-H-2.png,V-1-A-4.png,left,left,2052,6676
curE075a,47,Medium,1,decision,2,10038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,V-1-A-4.png,V-2-H-2.png,V-1-A-4.png,left,left,6678,11856
curE075a,48,Medium,0.5,exploration,3,2332,5,2,0,3,0,296,0,1346,0,2,1,0,1,0,376,0,1446,1,A-2-F-4.png,A-3-E-1.png,A-2-F-4.png,right,timedout,1464,3872
curE075a,48,Medium,0.5,decision,3,6716,14,1,0,13,0,452,0,4230,0,2,0,0,2,0,526,0,4926,0,A-2-F-4.png,A-3-E-1.png,A-2-F-4.png,right,timedout,3874,13908
curE075a,48,Medium,0.5,feedback,3,5234,13,1,0,9,3,410,0,1996,1376,4,1,0,3,0,410,0,2262,1,A-2-F-4.png,A-3-E-1.png,A-2-F-4.png,right,timedout,NaN,NaN
curE075a,49,Medium,1,exploration,3,2700,7,2,3,1,1,462,1032,416,216,2,1,1,0,0,530,1190,532,2,O-2-G-4.png,O-3-H-2.png,O-2-G-4.png,left,left,1558,3888
curE075a,49,Medium,1,decision,3,3148,6,1,0,5,0,448,0,2000,0,1,0,0,1,0,532,0,2344,0,O-2-G-4.png,O-3-H-2.png,O-2-G-4.png,left,left,3890,10604
curE075a,49,Medium,1,feedback,3,4538,7,1,0,5,1,338,0,1674,138,4,1,0,3,0,338,0,1794,1,O-2-G-4.png,O-3-H-2.png,O-2-G-4.png,left,left,NaN,NaN
curE075a,58,Easy,1,exploration,1,20006,39,31,8,0,0,10954,2896,0,0,5,3,2,0,0,12668,3136,0,3,F-4-E-1.png,O-4-J-3.png,F-4-E-1.png,left,left,1544,4468
curE075a,59,Easy,0.5,exploration,3,9642,20,7,11,1,1,2058,4930,418,188,5,2,3,0,0,2358,5374,536,4,A-1-I-4.png,F-1-A-2.png,A-1-I-4.png,right,timedout,1478,21480
curE075a,59,Easy,0.5,decision,3,1516,4,2,0,2,0,400,0,864,0,2,1,0,1,0,478,0,926,1,A-1-I-4.png,F-1-A-2.png,A-1-I-4.png,right,timedout,NaN,NaN
curE075a,59,Easy,0.5,feedback,3,4536,8,3,0,4,1,1006,0,2774,220,2,1,0,1,0,1122,0,2688,1,A-1-I-4.png,F-1-A-2.png,A-1-I-4.png,right,timedout,NaN,NaN
curE075a,60,Easy,0,exploration,3,4232,10,2,7,1,0,380,2596,468,0,2,1,1,0,0,434,2888,534,2,V-3-B-2.png,A-2-F-2.png,A-2-F-2.png,left,right,1532,11172
curE075a,60,Easy,0,decision,3,2050,5,1,0,4,0,384,0,1022,0,2,1,0,1,0,384,0,1114,1,V-3-B-2.png,A-2-F-2.png,A-2-F-2.png,left,right,11174,12688
curE075a,60,Easy,0,feedback,3,5236,11,5,1,1,4,1448,852,330,1754,4,2,1,1,0,1672,852,330,2,V-3-B-2.png,A-2-F-2.png,A-2-F-2.png,left,right,NaN,NaN
curE075a,61,Easy,1,exploration,3,15022,21,1,18,1,1,118,8360,300,214,3,0,2,1,0,140,9064,300,2,V-4-G-3.png,F-1-A-3.png,V-4-G-3.png,left,left,2178,6408
curE075a,61,Easy,1,decision,3,1568,2,0,1,1,0,0,466,210,0,1,0,0,1,0,0,534,246,0,V-4-G-3.png,F-1-A-3.png,V-4-G-3.png,left,left,6410,8458
curE075a,61,Easy,1,feedback,3,4540,10,1,9,0,0,1164,1970,0,0,3,1,2,0,0,1164,2312,0,2,V-4-G-3.png,F-1-A-3.png,V-4-G-3.png,left,left,NaN,NaN
curE075a,62,Easy,0,exploration,2,3426,5,3,1,1,0,2142,430,464,0,3,2,1,0,0,2256,430,528,2,V-2-B-3.png,O-1-I-4.png,V-2-B-3.png,right,left,1492,16512
curE075a,62,Easy,0,decision,2,10038,18,0,0,16,2,0,0,5110,346,2,0,0,2,0,0,0,5984,0,V-2-B-3.png,O-1-I-4.png,V-2-B-3.png,right,left,16514,18080
curE075a,63,Easy,0.5,exploration,3,3782,4,1,2,1,0,504,550,222,0,2,1,1,0,0,504,576,254,2,V-4-F-1.png,O-3-H-1.png,V-4-F-1.png,right,timedout,1584,5008
curE075a,63,Easy,0.5,decision,3,9164,11,0,1,7,3,0,470,3582,744,4,0,0,4,0,0,540,3688,0,V-4-F-1.png,O-3-H-1.png,V-4-F-1.png,right,timedout,5010,15044
curE075a,63,Easy,0.5,feedback,3,5234,5,0,2,2,1,0,516,1178,830,2,0,2,0,0,0,632,1234,1,V-4-F-1.png,O-3-H-1.png,V-4-F-1.png,right,timedout,NaN,NaN
curE075a,64,Easy,1,exploration,3,13556,25,18,4,1,2,9040,1746,154,364,5,2,2,1,0,9794,1852,154,4,O-2-J-1.png,A-4-I-1.png,A-4-I-1.png,right,right,2962,6742
curE075a,64,Easy,1,decision,3,1266,4,0,2,2,0,0,364,612,0,1,0,0,1,0,0,466,658,0,O-2-J-1.png,A-4-I-1.png,A-4-I-1.png,right,right,6744,15906
curE075a,64,Easy,1,feedback,3,5254,8,0,3,1,4,0,1328,216,1610,2,0,1,1,0,0,1412,216,1,O-2-J-1.png,A-4-I-1.png,A-4-I-1.png,right,right,NaN,NaN
curE075a,65,Easy,1,exploration,3,2332,4,0,3,1,0,0,1354,632,0,1,0,1,0,0,0,1522,778,1,V-1-A-4.png,O-3-G-3.png,O-3-G-3.png,right,right,1280,14834
curE075a,65,Easy,1,decision,3,1918,4,0,1,3,0,0,148,992,0,1,0,0,1,0,0,298,1126,0,V-1-A-4.png,O-3-G-3.png,O-3-G-3.png,right,right,14836,16100
curE075a,65,Easy,1,feedback,3,5234,10,1,2,3,4,740,690,1092,1140,6,1,2,3,0,740,690,1092,1,V-1-A-4.png,O-3-G-3.png,O-3-G-3.png,right,right,NaN,NaN
curE075a,66,Medium,1,decision,3,3100,4,1,0,3,0,452,0,600,0,1,0,0,1,0,534,0,682,0,O-2-H-3.png,O-4-J-3.png,O-4-J-3.png,right,right,4192,6108
curE075a,66,Medium,1,feedback,3,5234,11,2,0,4,5,426,0,1692,2288,3,1,0,2,0,498,0,1822,1,O-2-H-3.png,O-4-J-3.png,O-4-J-3.png,right,right,NaN,NaN
curE075a,67,Medium,1,exploration,1,20006,51,22,29,0,0,5192,9846,0,0,11,6,5,0,0,6194,11362,0,6,F-2-G-2.png,F-3-A-1.png,F-2-G-2.png,left,left,3974,6754
curE075a,68,Hard,0.5,exploration,3,10262,18,8,7,1,2,2356,2916,474,336,6,4,2,0,0,2460,3266,538,3,A-1-D-2.png,A-1-I-4.png,A-1-D-2.png,right,timedout,1520,21522
curE075a,68,Hard,0.5,decision,3,6000,13,1,0,9,3,466,0,3126,1052,2,0,0,2,0,0,0,3638,0,A-1-D-2.png,A-1-I-4.png,A-1-D-2.png,right,timedout,NaN,NaN
curE075a,68,Hard,0.5,feedback,3,4534,10,7,0,3,0,2418,0,1202,0,2,1,0,1,0,2784,0,1330,1,A-1-D-2.png,A-1-I-4.png,A-1-D-2.png,right,timedout,NaN,NaN
curE075a,69,Hard,0,exploration,3,20258,29,18,10,1,0,7736,3482,468,0,13,7,6,0,0,8250,3688,518,7,V-1-G-1.png,V-1-B-3.png,V-1-B-3.png,left,right,1512,11772
curE075a,69,Hard,0,decision,3,1982,3,1,0,2,0,532,0,1378,4,1,0,0,1,0,532,0,1446,0,V-1-G-1.png,V-1-B-3.png,V-1-B-3.png,left,right,11774,17772
