session,trialno,difficulty,accuracy,period_in_trial,step_reached,durPeriodTotal,FixNb,FixNbInL,FixNbInR,FixNbInT,FixNbNoAOI,FixTotDurInL,FixTotDurInR,FixTotDurInT,FixTotDurInNoAOI,LookNb,LookNbInL,LookNbInR,LookNbInT,LookNbNoAOI,LookTotDurInL,LookTotDurInR,LookTotDurInT,NbSwitches,objL,objR,objT,sideChosen,sideMatch,timePeriodStarts,timePeriodEnds
curE098a,22,Easy,0.0,exploration,3,5116,11,4,5,2,0,740,1508,434,0,5,1,3,1,0,898,1608,478,2,F-1-A-4.png,A-1-C-3.png,A-1-C-3.png,left,right,1894.0,6668.0
curE098a,22,Easy,0.0,decision,3,2332,4,0,1,3,0,0,484,1444,0,1,0,0,1,0,0,534,1594,0,F-1-A-4.png,A-1-C-3.png,A-1-C-3.png,left,right,6670.0,10984.0
curE098a,23,Easy,0.0,exploration,3,4776,6,5,0,1,0,3580,0,424,0,1,1,0,0,0,3854,0,538,1,V-1-G-2.png,O-1-I-4.png,O-1-I-4.png,left,right,1482.0,13904.0
curE098a,23,Easy,0.0,decision,3,4316,9,1,0,7,1,208,0,2174,288,2,1,0,1,0,208,0,2714,1,V-1-G-2.png,O-1-I-4.png,O-1-I-4.png,left,right,13906.0,14470.0
curE098a,24,Easy,1.0,exploration,3,12424,17,7,8,1,1,2404,3824,472,170,10,4,5,1,0,2542,3910,472,6,O-3-H-2.png,A-2-F-1.png,O-3-H-2.png,left,left,3726.0,6054.0
curE098a,24,Easy,1.0,decision,3,566,2,2,0,0,0,488,0,0,0,1,1,0,0,0,488,0,0,1,O-3-H-2.png,A-2-F-1.png,O-3-H-2.png,left,left,6056.0,7838.0
curE098a,25,Easy,1.0,exploration,3,2330,5,0,4,1,0,0,1018,620,0,1,0,1,0,0,0,1148,664,1,V-4-A-4.png,F-2-G-2.png,V-4-A-4.png,left,left,1440.0,4070.0
curE098a,25,Easy,1.0,decision,3,1784,3,1,0,2,0,406,0,1026,0,2,1,0,1,0,406,0,1104,1,V-4-A-4.png,F-2-G-2.png,V-4-A-4.png,left,left,4072.0,4638.0
curE098a,32,Medium,0.0,exploration,3,15844,21,17,2,2,0,5022,332,406,0,4,2,1,1,0,5490,430,484,3,O-3-H-1.png,O-1-D-2.png,O-1-D-2.png,left,right,1796.0,4126.0
curE098a,32,Medium,0.0,decision,3,2398,5,0,1,4,0,0,474,1642,0,1,0,0,1,0,0,526,1864,0,O-3-H-1.png,O-1-D-2.png,O-1-D-2.png,left,right,4128.0,12624.0
curE098a,35,Easy,1.0,exploration,2,3198,5,3,1,1,0,2108,118,478,0,2,1,1,0,0,2210,118,540,2,V-2-B-3.png,F-1-A-1.png,V-2-B-3.png,left,left,1460.0,5224.0
curE098a,35,Easy,1.0,decision,2,10038,11,0,0,11,0,0,0,1870,0,1,0,0,1,0,0,0,2522,0,V-2-B-3.png,F-1-A-1.png,V-2-B-3.png,left,left,5226.0,9872.0
curE098a,36,Easy,1.0,exploration,3,3766,7,3,2,1,1,1256,998,458,252,1,0,1,0,0,1458,1028,532,1,F-3-G-4.png,O-1-I-4.png,F-3-G-4.png,left,left,1462.0,20170.0
curE098a,36,Easy,1.0,decision,3,4648,10,2,0,8,0,232,0,3442,0,2,1,0,1,0,256,0,4044,1,F-3-G-4.png,O-1-I-4.png,F-3-G-4.png,left,left,20172.0,29034.0
curE098a,37,Medium,0.0,exploration,3,18710,20,9,8,0,3,2958,5144,0,376,9,4,5,0,0,3294,5244,0,9,A-1-C-3.png,A-2-F-3.png,A-1-C-3.png,right,left,1452.0,6748.0
curE098a,37,Medium,0.0,decision,3,8864,16,1,0,15,0,432,8,6088,590,2,1,0,1,0,432,8,6820,1,A-1-C-3.png,A-2-F-3.png,A-1-C-3.png,right,left,6750.0,8964.0
curE098a,38,Medium,0.0,exploration,3,5298,11,4,5,2,0,958,2018,658,0,4,1,2,1,0,1104,2248,724,3,V-4-G-3.png,V-3-H-3.png,V-3-H-3.png,left,right,13446.0,28668.0
curE098a,38,Medium,0.0,decision,3,2216,5,0,2,3,0,0,376,782,298,2,0,1,1,0,0,448,884,1,V-4-G-3.png,V-3-H-3.png,V-3-H-3.png,left,right,28670.0,31102.0
curE098a,39,Easy,0.0,exploration,3,15224,37,36,0,1,0,10702,0,416,0,1,1,0,0,0,12174,0,526,1,A-2-F-2.png,F-1-A-3.png,F-1-A-3.png,left,right,3448.0,11658.0
curE098a,39,Easy,0.0,decision,3,2434,4,1,0,3,0,428,0,1558,0,1,0,0,1,0,0,0,1710,0,A-2-F-2.png,F-1-A-3.png,F-1-A-3.png,left,right,11660.0,12274.0
curE098a,42,Easy,1.0,exploration,3,2332,4,1,2,1,0,388,794,754,0,2,1,1,0,0,388,856,822,2,F-2-G-2.png,V-2-A-4.png,F-2-G-2.png,left,left,1458.0,4272.0
curE098a,42,Easy,1.0,decision,3,1266,3,2,0,1,0,478,0,696,0,2,1,0,1,0,478,0,696,1,F-2-G-2.png,V-2-A-4.png,F-2-G-2.png,left,left,4274.0,6022.0
