session,trialno,difficulty,accuracy,sideChosen,durExplorationPeriod,durDecisionPeriod,durPeriodTotal,SwitchesExplorationPeriod,SwitchesDecisionPeriod,NbSwitches,FixNbExplorationPeriod,FixNbDecisionPeriod,FixNb,FixNbInTDecision,FixNbInLExploration,FixNbInRExploration,FixNbBottomExploration,LookDurInTDecision,LookDurInLExploration,LookDurInRExploration,LookDurBottomExploration
curE024a,15,Medium,1.0,left,6546,2016,8562,3,0,3,18,6,24,5,7,9,16,1888,2658,2564,5222
curE024a,16,Medium,0.0,right,5032,916,5948,2,1,3,10,3,13,1,6,3,9,854,3052,898,3950
curE024a,17,Medium,0.0,left,12062,1600,13662,3,0,3,17,5,22,4,10,5,15,1376,5394,1652,7046
curE024a,21,Easy,1.0,left,4730,1500,6230,2,0,2,9,4,13,3,5,2,7,1468,2886,604,3490
curE024a,27,Easy,0.0,left,3716,1400,5116,3,0,3,8,3,11,2,4,2,6,1306,1634,780,2414
curE024a,28,Easy,1.0,left,5580,1650,7230,4,0,4,14,4,18,3,5,8,13,1648,1642,2416,4058
curE024a,35,Easy,0.0,left,13390,2366,15756,4,0,4,23,3,26,2,17,5,22,1408,6114,1808,7922
curE024a,36,Easy,0.0,left,4310,9780,14090,2,1,3,10,14,24,13,2,7,9,5906,690,2912,3602
curE024a,37,Easy,1.0,left,2332,1432,3764,1,0,1,6,4,10,3,0,3,3,894,0,704,704
curE024a,38,Easy,0.0,right,8294,1066,9360,5,0,5,16,3,19,1,6,9,15,812,2718,3630,6348
curE024a,40,Easy,0.0,right,4496,2166,6662,3,0,3,12,4,16,3,5,6,11,2050,1810,1818,3628
curE024a,41,Easy,1.0,right,2930,1466,4396,3,0,3,9,4,13,3,3,4,7,1176,968,1084,2052
curE024a,42,Easy,0.0,left,4514,1434,5948,2,0,2,7,2,9,1,3,4,7,456,990,882,1872
curE027a,7,Easy,1.0,left,2400,1416,3816,0,1,1,3,3,6,1,0,0,0,2284,0,0,0
curE027a,8,Easy,1.0,left,2332,1416,3748,0,1,1,0,3,3,1,0,0,0,830,0,0,0
curE027a,9,Medium,0.0,left,2330,3248,5578,0,0,0,2,2,4,1,0,0,0,1302,0,0,0
curE027a,11,Medium,1.0,left,2332,1232,3564,0,0,0,0,3,3,2,0,0,0,694,0,0,0
curE027a,12,Medium,1.0,right,2332,1932,4264,0,0,0,0,4,4,3,0,0,0,1390,0,0,0
curE027a,16,Medium,1.0,right,5396,1384,6780,2,1,3,6,3,9,1,3,2,5,1282,1362,1310,2672
curE027a,18,Medium,0.0,left,2882,1134,4016,0,1,1,5,3,8,1,0,2,2,2200,0,936,936
curE027a,19,Medium,1.0,left,2762,1066,3828,0,1,1,4,3,7,1,0,2,2,1718,0,942,942
curE027a,20,Medium,1.0,left,2330,1398,3728,0,0,0,0,4,4,2,0,0,0,522,0,0,0
curE027a,21,Hard,0.0,left,2332,1166,3498,0,0,0,0,3,3,2,0,0,0,622,0,0,0
curE027a,24,Medium,1.0,left,2328,1400,3728,0,0,0,0,3,3,2,0,0,0,856,0,0,0
curE027a,25,Medium,0.0,left,2332,1848,4180,0,1,1,0,3,3,1,0,0,0,1270,0,0,0
curE027a,26,Medium,1.0,left,6312,1482,7794,0,0,0,3,4,7,3,0,0,0,2788,0,0,0
curE027a,29,Medium,1.0,left,2332,1250,3582,1,1,2,2,2,4,1,0,1,1,1310,0,346,346
curE027a,30,Medium,1.0,left,3566,1082,4648,0,0,0,0,3,3,2,0,0,0,542,0,0,0
curE030a,7,Easy,0.0,right,4298,1548,5846,1,0,1,7,5,12,4,2,4,6,1496,1044,714,1758
curE030a,12,Easy,1.0,right,3948,1548,5496,1,0,1,8,3,11,2,3,4,7,1240,984,1968,2952
curE030a,15,Easy,0.0,right,2760,1384,4144,2,0,2,8,4,12,3,2,5,7,1392,468,1236,1704
curE030a,19,Easy,0.0,right,8964,1966,10930,4,1,5,20,4,24,2,16,3,19,1738,6236,928,7164
curE030a,20,Easy,1.0,left,3114,1900,5014,2,1,3,9,6,15,4,4,3,7,1372,1156,992,2148
curE030a,21,Easy,1.0,right,2328,1532,3860,2,0,2,6,4,10,3,3,1,4,1756,952,224,1176
curE030a,23,Medium,1.0,left,2328,3182,5510,2,0,2,7,8,15,7,4,2,6,2954,1148,408,1556
curE030a,26,Hard,1.0,right,7260,1732,8992,5,0,5,21,3,24,2,8,11,19,1522,2786,2644,5430
curE030a,27,Hard,1.0,right,2328,4066,6394,1,0,1,4,2,6,2,1,2,3,988,448,476,924
curE030a,28,xHard,1.0,left,4132,1782,5914,3,0,3,7,0,7,0,4,3,7,0,1860,1144,3004
curE030a,31,xHard,0.0,right,3798,1616,5414,2,0,2,10,4,14,3,3,5,8,1402,870,1518,2388
curE030a,36,xHard,0.0,left,2330,1816,4146,2,0,2,5,4,9,3,2,2,4,1984,786,418,1204
curE030a,37,xHard,1.0,left,2332,1650,3982,2,0,2,5,2,7,1,3,1,4,814,882,264,1146
curE034a,8,Easy,1.0,left,5794,7082,12876,2,0,2,13,6,19,6,6,5,11,3250,2818,1042,3860
curE034a,13,Easy,0.0,right,9246,9230,18476,2,0,2,20,0,20,0,12,7,19,454,3522,2712,6234
curE034a,14,Easy,0.0,left,5178,600,5778,3,1,4,12,2,14,0,3,6,9,0,1036,2638,3674
curE034a,16,Easy,1.0,right,18894,1948,20842,4,1,5,24,6,30,4,17,6,23,1904,6824,1948,8772
curE034a,17,Easy,0.0,right,16206,5016,21222,3,1,4,15,9,24,7,12,3,15,2194,3774,1056,4830
curE034a,18,Easy,0.0,right,4944,7698,12642,2,0,2,5,8,13,7,3,1,4,1996,962,364,1326
curE034a,21,Easy,0.0,right,17866,3510,21376,1,1,2,22,7,29,6,10,10,20,3196,3428,2820,6248
curE034a,24,Easy,1.0,left,5146,10040,15186,1,0,1,10,5,15,5,3,6,9,1616,1094,2640,3734
curE034a,25,Easy,1.0,right,8292,5366,13658,3,0,3,6,10,16,8,2,3,5,3018,1146,2660,3806
curE034a,26,Medium,1.0,right,9376,7748,17124,3,1,4,16,17,33,15,12,3,15,6574,3700,1246,4946
curE034a,31,Medium,1.0,right,8948,2348,11296,1,1,2,9,6,15,5,5,3,8,2294,1786,3870,5656
curE034a,37,Medium,1.0,left,14608,10038,24646,4,0,4,32,0,32,0,16,15,31,108,5296,4904,10200
curE034a,41,Medium,0.0,right,4244,10038,14282,2,0,2,7,0,7,0,1,6,7,0,562,2518,3080
curE034a,49,Medium,1.0,right,10812,10504,21316,1,0,1,13,10,23,10,9,1,10,3088,3126,146,3272
curE038a,7,Easy,0.0,left,2332,1098,3430,0,0,0,4,3,7,2,0,0,0,2062,0,0,0
curE038a,15,Easy,1.0,left,2328,2270,4598,1,1,2,6,5,11,4,3,0,3,2150,986,0,986
curE038a,16,Easy,1.0,left,2330,1600,3930,2,1,3,6,4,10,3,2,1,3,2324,518,274,792
curE038a,17,Medium,1.0,left,2334,1932,4266,1,0,1,5,5,10,3,0,3,3,2126,0,1046,1046
curE038a,18,Medium,1.0,right,2332,918,3250,0,1,1,2,3,5,1,0,0,0,2014,0,0,0
curE038a,19,Hard,1.0,left,2328,2098,4426,1,1,2,5,4,9,2,2,0,2,1370,930,0,930
curE038a,20,Hard,1.0,right,2332,3182,5514,0,1,1,5,6,11,4,0,0,0,2208,0,0,0
curE038a,21,xHard,0.0,right,2414,2816,5230,1,1,2,6,6,12,4,1,0,1,3704,306,0,306
curE038a,22,xHard,1.0,right,2332,1116,3448,0,1,1,3,3,6,2,0,0,0,1842,0,20,20
curE038a,27,xHard,0.0,right,2328,982,3310,0,1,1,4,3,7,1,0,0,0,2600,0,0,0
curE038a,28,Hard,1.0,right,2328,2050,4378,0,1,1,3,6,9,4,0,0,0,2792,0,0,0
curE038a,29,Hard,0.0,left,4842,1668,6510,0,0,0,7,3,10,2,1,0,1,2826,582,0,582
curE038a,30,Hard,1.0,right,2432,1082,3514,2,0,2,5,3,8,2,3,0,3,1524,1020,0,1020
curE038a,31,Hard,1.0,left,2976,1400,4376,0,0,0,6,1,7,1,0,1,1,1598,0,382,382
curE038a,32,xHard,0.0,right,2326,2272,4598,1,1,2,3,3,6,1,0,1,1,1376,0,188,188
curE038a,33,xHard,1.0,left,2332,2034,4366,0,1,1,2,5,7,3,0,0,0,2278,0,0,0
curE038a,34,xHard,1.0,right,2332,1384,3716,1,0,1,5,2,7,2,2,0,2,1714,614,0,614
curE038a,35,xHard,1.0,right,2332,3564,5896,1,1,2,5,8,13,4,0,2,2,2618,0,448,448
curE038a,36,xHard,0.0,right,2330,1084,3414,1,0,1,4,2,6,0,0,1,1,1618,0,136,136
curE038a,37,xHard,1.0,right,5496,7564,13060,3,0,3,8,7,15,5,2,4,6,4112,1030,2926,3956
curE038a,38,xHard,0.0,left,3260,966,4226,1,1,2,8,3,11,1,0,3,3,2744,0,762,762
curE038a,39,xHard,0.0,right,4064,1182,5246,0,0,0,4,3,7,2,0,0,0,1144,0,0,0
curE038a,40,Hard,0.0,right,2614,984,3598,1,1,2,6,3,9,1,3,0,3,1632,626,0,626
curE038a,41,Hard,1.0,left,3682,3858,7540,1,1,2,4,3,7,1,0,1,1,1340,0,200,200
curE038a,42,Hard,1.0,right,2332,1000,3332,0,1,1,0,2,2,0,0,0,0,0,0,0,0
curE038a,43,xHard,0.0,right,2394,1666,4060,1,0,1,5,4,9,3,3,0,3,2292,786,0,786
curE038a,44,xHard,1.0,right,3294,3232,6526,2,1,3,9,8,17,5,4,3,7,2804,868,970,1838
curE038a,47,xHard,0.0,right,19442,918,20360,4,1,5,16,3,19,1,8,4,12,840,2226,1732,3958
curE038a,49,Hard,0.0,right,12708,1150,13858,5,0,5,17,1,18,0,6,10,16,0,2056,3294,5350
curE038a,50,Medium,0.0,right,3982,934,4916,3,0,3,7,1,8,1,3,2,5,888,1840,772,2612
curE038a,51,Medium,1.0,left,2330,7014,9344,1,0,1,3,9,12,7,1,0,1,4490,202,0,202
curE038a,52,Medium,0.0,left,2332,566,2898,1,0,1,3,0,3,0,0,2,2,620,0,594,594
curE038a,55,Medium,1.0,left,3532,950,4482,2,1,3,9,3,12,1,5,1,6,1644,1470,238,1708
curE038a,56,Medium,1.0,left,2382,916,3298,2,1,3,5,2,7,1,1,1,2,1266,280,444,724
curE038a,57,Hard,0.0,left,2326,7764,10090,1,1,2,4,20,24,17,2,0,2,6392,518,0,518
curE038a,58,Hard,1.0,right,2370,1312,3682,1,0,1,4,3,7,2,2,0,2,1818,914,0,914
curE038a,59,Hard,1.0,left,11412,1384,12796,1,0,1,21,3,24,1,0,18,18,1298,0,8688,8688
curE038a,60,xHard,1.0,left,2332,866,3198,1,0,1,4,2,6,1,1,0,1,2106,196,0,196
curE038a,64,xHard,0.0,left,2614,968,3582,1,1,2,4,2,6,1,0,2,2,912,0,728,728
curE039a,7,Easy,0.0,right,7748,1432,9180,4,1,5,18,5,23,3,6,8,14,1714,2070,3624,5694
curE039a,9,Easy,1.0,right,9670,1858,11528,3,0,3,18,6,24,5,4,10,14,1908,1036,5588,6624
curE039a,10,Easy,0.0,right,8942,1200,10142,2,0,2,9,2,11,1,1,6,7,672,428,5148,5576
curE039a,11,Easy,1.0,left,16032,2596,18628,8,1,9,39,5,44,4,20,17,37,2492,7622,5424,13046
curE039a,12,Easy,1.0,right,8610,3232,11842,2,2,4,7,8,15,6,1,4,5,2592,716,1168,1884
curE039a,13,Medium,1.0,right,3548,2466,6014,3,1,4,10,5,15,3,5,4,9,2298,1312,1332,2644
curE039a,16,Medium,1.0,left,3550,7842,11392,3,2,5,7,11,18,9,3,1,4,6348,880,214,1094
curE039a,17,Medium,0.0,left,14346,9014,23360,3,1,4,17,7,24,5,9,8,17,2126,3570,2406,5976
curE039a,19,Medium,1.0,right,13100,562,13662,2,0,2,21,0,21,0,3,15,18,400,642,5848,6490
curE039a,20,Hard,0.0,right,3732,2050,5782,3,0,3,10,6,16,5,4,4,8,2116,1226,1284,2510
curE039a,23,Medium,1.0,right,5648,4482,10130,3,1,4,12,3,15,2,5,7,12,610,1458,2078,3536
curE039a,30,Medium,1.0,right,19258,4048,23306,5,1,6,29,5,34,3,15,13,28,1796,5416,5790,11206
curE039a,37,Easy,0.0,left,7836,2038,9874,3,0,3,20,5,25,4,9,9,18,1926,2306,3536,5842
curE039a,38,Easy,0.0,right,19410,6780,26190,3,1,4,44,7,51,5,24,17,41,3432,9388,5842,15230
curE039a,41,Easy,1.0,right,14190,5200,19390,5,1,6,28,9,37,7,10,17,27,4800,2868,9262,12130
curE041a,8,Easy,1.0,right,2532,10036,12568,1,0,1,7,11,18,11,5,0,5,3224,1902,0,1902
curE041a,9,Easy,1.0,right,6126,6366,12492,2,1,3,11,10,21,8,2,8,10,5850,566,4876,5442
curE041a,10,Medium,1.0,right,2416,7180,9596,1,0,1,5,13,18,11,4,0,4,3850,1476,0,1476
curE041a,15,Medium,0.0,right,2814,10040,12854,2,0,2,6,12,18,12,3,2,5,7572,1174,526,1700
curE041a,16,Medium,0.0,right,6548,2350,8898,2,0,2,10,4,14,3,3,6,9,2350,836,4880,5716
curE041a,17,Easy,1.0,right,2332,6280,8612,1,0,1,5,9,14,9,4,0,4,5100,1388,0,1388
curE041a,22,Easy,1.0,right,2332,1632,3964,0,0,0,4,4,8,3,0,0,0,2728,0,0,0
curE041a,23,Medium,0.0,right,2330,1432,3762,0,1,1,6,3,9,1,0,0,0,1822,0,0,0
curE041a,24,Medium,0.0,right,2332,1766,4098,0,0,0,5,4,9,3,0,0,0,2070,0,0,0
curE041a,27,Easy,0.0,right,2332,8180,10512,0,0,0,6,20,26,20,0,0,0,6566,0,0,0
curE041a,28,Easy,1.0,right,6730,1550,8280,3,1,4,12,3,15,2,7,3,10,1004,2366,1066,3432
curE041a,30,Easy,1.0,right,2348,10038,12386,1,0,1,5,8,13,8,0,4,4,2854,0,674,674
curE041a,33,Easy,1.0,right,8630,2966,11596,1,1,2,18,5,23,3,15,2,17,1248,4740,958,5698
curE041a,37,Easy,0.0,right,13512,1700,15212,2,1,3,16,4,20,2,4,10,14,1504,1262,4542,5804
curE045a,12,Medium,0.0,right,2594,2200,4794,2,0,2,5,3,8,2,1,3,4,2144,838,1074,1912
curE045a,13,Medium,1.0,right,2444,1732,4176,2,1,3,4,4,8,3,1,2,3,1616,1150,528,1678
curE045a,15,Medium,1.0,right,2332,2850,5182,2,1,3,3,7,10,5,1,1,2,2622,494,694,1188
curE045a,17,Hard,0.0,left,2832,1566,4398,2,0,2,6,3,9,2,1,4,5,1412,568,1306,1874
curE045a,18,Hard,1.0,left,2816,2182,4998,2,0,2,7,5,12,4,4,2,6,2118,1088,940,2028
curE045a,19,Hard,0.0,right,3680,1784,5464,3,1,4,9,6,15,4,2,6,8,1734,784,1950,2734
curE045a,20,Hard,1.0,right,12630,2030,14660,5,0,5,17,4,21,3,7,9,16,1842,2570,3466,6036
curE045a,22,Hard,1.0,left,3816,3982,7798,2,1,3,10,8,18,6,2,7,9,3350,670,2218,2888
curE045a,24,Hard,0.0,left,7380,10038,17418,6,0,6,16,8,24,8,6,8,14,2214,2490,3168,5658
curE045a,25,Hard,1.0,left,7730,2816,10546,3,0,3,15,5,20,4,3,10,13,2788,1386,3726,5112
curE045a,28,Hard,1.0,right,16028,2700,18728,5,0,5,29,5,34,4,11,17,28,2418,3274,9746,13020
curE045a,30,xHard,1.0,left,7026,3516,10542,4,1,5,16,7,23,5,9,6,15,2816,2626,3048,5674
curE045a,31,xHard,0.0,left,8182,1866,10048,7,0,7,20,4,24,3,8,11,19,1730,3304,3468,6772
curE045a,32,xHard,0.0,right,4346,1766,6112,3,0,3,10,4,14,3,4,4,8,1232,1652,1532,3184
curE045a,35,Hard,1.0,left,13628,1916,15544,3,0,3,19,5,24,5,13,4,17,1776,4392,1402,5794
curE045a,37,Hard,1.0,left,10962,1666,12628,2,1,3,17,5,22,3,7,9,16,1642,2248,3570,5818
curE046a,7,Easy,1.0,right,3998,1850,5848,1,1,2,7,5,12,3,0,5,5,3004,0,1986,1986
curE046a,8,Easy,0.0,left,10508,2650,13158,1,0,1,15,5,20,4,0,13,13,3516,0,8716,8716
curE046a,9,Easy,1.0,right,3230,1484,4714,1,0,1,5,4,9,3,2,1,3,2492,1140,258,1398
curE046a,10,Easy,0.0,right,4344,1150,5494,2,0,2,7,3,10,2,1,4,5,2126,370,1992,2362
curE046a,11,Easy,0.0,right,3360,1800,5160,2,0,2,11,5,16,4,2,7,9,1742,576,1944,2520
curE046a,14,Easy,0.0,left,2332,1000,3332,1,1,2,3,3,6,1,0,2,2,408,0,1104,1104
curE046a,15,Easy,1.0,right,2364,4266,6630,2,1,3,6,12,18,10,1,4,5,4180,284,1416,1700
curE046a,16,Easy,1.0,right,2328,1100,3428,1,0,1,2,3,5,2,0,1,1,1938,0,738,738
curE046a,17,Medium,0.0,right,8580,1366,9946,3,0,3,16,3,19,2,9,5,14,1896,3962,2718,6680
curE046a,18,Medium,1.0,right,8442,1000,9442,4,1,5,20,3,23,1,8,10,18,1390,2704,3856,6560
curE046a,21,Medium,0.0,left,2894,1018,3912,1,1,2,5,3,8,1,2,1,3,1916,878,262,1140
curE046a,22,Easy,0.0,right,2332,1282,3614,1,0,1,5,3,8,1,2,0,2,1502,900,0,900
curE046a,23,Easy,1.0,right,2332,2800,5132,1,1,2,4,6,10,4,0,3,3,3024,0,1240,1240
curE046a,24,Easy,1.0,right,2326,2916,5242,1,1,2,6,6,12,4,0,5,5,2478,0,1204,1204
curE046a,25,Medium,1.0,right,2326,2416,4742,1,0,1,5,7,12,6,0,3,3,2464,0,848,848
curE046a,26,Medium,1.0,left,13724,1900,15624,5,0,5,30,3,33,2,14,13,27,2340,5368,6332,11700
curE046a,27,Hard,0.0,left,2510,966,3476,1,0,1,6,2,8,1,0,4,4,716,232,1160,1392
curE046a,29,Medium,1.0,left,2678,2000,4678,2,1,3,5,6,11,4,2,2,4,1926,1028,996,2024
curE046a,30,Medium,1.0,left,11876,2066,13942,5,1,6,26,6,32,4,10,14,24,1990,3690,6490,10180
curE046a,31,Hard,1.0,right,2332,1466,3798,2,0,2,4,3,7,2,1,2,3,1974,392,764,1156
curE046a,32,Hard,1.0,right,17394,4048,21442,5,1,6,36,4,40,2,20,14,34,4092,8788,6248,15036
curE046a,33,xHard,0.0,left,3316,1666,4982,1,0,1,5,4,9,3,0,3,3,2646,0,782,782
curE046a,34,xHard,1.0,left,3978,1032,5010,2,1,3,9,3,12,1,2,5,7,1682,774,1626,2400
curE046a,35,xHard,0.0,left,4948,1116,6064,2,1,3,11,3,14,1,3,5,8,1624,954,2334,3288
curE046a,36,xHard,0.0,right,7576,1532,9108,3,0,3,12,3,15,2,3,6,9,1784,996,2194,3190
curE046a,37,Hard,0.0,right,2464,2316,4780,2,0,2,4,5,9,4,1,2,3,2286,812,1012,1824
curE046a,38,Hard,0.0,right,2664,1184,3848,1,0,1,4,3,7,2,0,1,1,2188,0,456,456
curE046a,41,Medium,0.0,left,4714,650,5364,2,1,3,11,2,13,0,1,8,9,1226,518,2512,3030
curE046a,44,Easy,0.0,right,3198,1616,4814,1,0,1,6,4,10,3,0,4,4,2672,0,1380,1380
curE049a,7,Easy,1.0,left,4664,568,5232,2,1,3,9,2,11,0,3,5,8,436,1736,1766,3502
curE049a,8,Easy,1.0,left,2332,4816,7148,1,2,3,3,10,13,8,0,2,2,3320,0,494,494
curE049a,9,Medium,0.0,right,6998,1834,8832,2,1,3,21,4,25,2,16,2,18,764,4210,338,4548
curE049a,10,Medium,1.0,right,19276,1834,21110,2,1,3,51,5,56,3,31,18,49,1368,9992,6290,16282
curE049a,11,Medium,0.0,right,5130,1850,6980,2,1,3,11,4,15,3,8,2,10,1474,3420,528,3948
curE049a,12,Medium,1.0,right,6830,1200,8030,4,0,4,17,3,20,2,7,8,15,1146,2132,2134,4266
curE049a,15,Medium,0.0,left,2948,3982,6930,1,1,2,4,8,12,7,3,0,3,3562,738,0,738
curE049a,16,Medium,0.0,right,12046,1766,13812,2,1,3,31,6,37,4,20,10,30,1544,4060,2172,6232
curE049a,18,Easy,1.0,right,2616,1766,4382,2,0,2,7,5,12,4,4,2,6,1520,628,780,1408
curE049a,19,Easy,0.0,right,9710,1666,11376,3,1,4,24,2,26,1,8,15,23,346,1706,5220,6926
curE049a,20,Easy,1.0,right,4464,7964,12428,2,0,2,11,4,15,4,6,4,10,1744,1380,1574,2954
curE049a,25,Easy,1.0,right,4914,2550,7464,3,0,3,11,6,17,5,6,3,9,2736,2144,1036,3180
curE049a,26,Medium,1.0,right,4648,1632,6280,2,0,2,13,4,17,2,5,5,10,1134,1916,1148,3064
curE049a,27,Medium,1.0,left,14512,2582,17094,4,1,5,34,8,42,6,20,11,31,2372,5512,2166,7678
curE049a,29,Hard,1.0,left,3898,5816,9714,2,0,2,10,8,18,5,6,3,9,1740,1588,1274,2862
curE049a,31,Hard,1.0,right,12408,7932,20340,2,0,2,17,10,27,9,7,8,15,5078,2220,1762,3982
curE049a,32,Hard,1.0,right,3526,1618,5144,1,1,2,5,4,9,2,1,3,4,1114,200,1828,2028
curE049a,34,xHard,0.0,right,4864,1634,6498,2,0,2,13,4,17,3,4,8,12,1630,872,2018,2890
curE049a,53,xHard,1.0,right,15158,4316,19474,1,0,1,24,4,28,4,1,20,21,1190,176,4298,4474
curE049a,54,xHard,0.0,right,9776,1266,11042,2,0,2,18,2,20,2,2,14,16,800,332,3518,3850
curE049a,55,xHard,0.0,left,18694,1516,20210,2,1,3,19,4,23,3,11,7,18,1306,2884,1798,4682
curE050a,7,Easy,1.0,right,2448,2816,5264,2,1,3,5,6,11,5,1,3,4,2742,244,1430,1674
curE050a,8,Easy,0.0,left,2332,5698,8030,1,1,2,4,8,12,7,0,2,2,4106,0,272,272
curE050a,9,Easy,1.0,right,2648,2100,4748,1,0,1,5,4,9,4,1,3,4,1234,332,1080,1412
curE050a,12,Easy,1.0,right,3316,1666,4982,2,0,2,8,4,12,3,2,4,6,1730,402,1822,2224
curE050a,13,Easy,0.0,right,2626,1616,4242,2,1,3,5,5,10,3,2,2,4,1558,542,860,1402
curE050a,15,Easy,0.0,right,3208,1166,4374,2,0,2,9,3,12,2,2,5,7,1658,460,1174,1634
curE050a,16,Easy,0.0,left,2330,1366,3696,1,0,1,5,4,9,3,2,2,4,1658,542,530,1072
curE050a,17,Easy,0.0,right,2330,1632,3962,1,0,1,3,5,8,3,0,2,2,2396,26,608,634
curE050a,18,Easy,0.0,right,2328,1182,3510,1,0,1,4,3,7,2,1,2,3,1798,248,394,642
curE050a,19,Easy,0.0,right,2330,1682,4012,1,0,1,4,3,7,3,2,1,3,1172,724,446,1170
curE050a,20,Easy,1.0,right,2332,3848,6180,2,1,3,4,9,13,7,1,2,3,2948,140,992,1132
curE050a,22,Easy,0.0,right,2330,1066,3396,1,1,2,5,3,8,2,2,2,4,1614,368,444,812
curE050a,23,Easy,0.0,left,3312,3832,7144,1,0,1,6,10,16,9,4,1,5,3664,1932,240,2172
curE050a,24,Easy,1.0,left,2648,1716,4364,1,1,2,5,5,10,3,2,2,4,1036,776,466,1242
curE050a,25,Easy,1.0,left,2330,2432,4762,1,0,1,5,3,8,3,3,1,4,1292,1016,166,1182
curE050a,26,Medium,0.0,right,4448,2066,6514,1,0,1,4,3,7,2,0,2,2,2316,0,1288,1288
curE050a,27,Medium,1.0,right,5046,1100,6146,1,1,2,3,2,5,1,0,2,2,1036,0,594,594
curE050a,28,Medium,0.0,right,12222,2740,14962,2,0,2,20,4,24,3,4,13,17,2704,2404,4442,6846
curE050a,31,Medium,1.0,right,11528,1534,13062,2,0,2,13,0,13,0,11,0,11,410,1590,0,1590
curE050a,34,Medium,1.0,right,3916,2216,6132,3,0,3,12,5,17,4,5,6,11,2146,1462,1516,2978
curE050a,37,Hard,0.0,right,4998,9730,14728,3,0,3,11,10,21,8,4,4,8,3852,1634,1208,2842
curE050a,38,Hard,0.0,right,5342,1350,6692,2,1,3,6,3,9,2,0,3,3,1296,0,1126,1126
curE051a,7,Easy,0.0,right,8998,2930,11928,1,0,1,15,9,24,8,8,5,13,2944,3048,1674,4722
curE051a,8,Easy,1.0,left,5364,566,5930,2,1,3,13,1,14,0,4,8,12,534,1624,2908,4532
curE051a,9,Easy,0.0,left,5548,2650,8198,2,1,3,14,5,19,4,9,4,13,2592,3396,1238,4634
curE051a,11,Easy,0.0,right,12196,4464,16660,2,1,3,15,9,24,7,10,4,14,3778,2846,948,3794
curE051a,12,Easy,0.0,left,19492,5066,24558,4,1,5,30,3,33,2,16,13,29,1178,4892,3224,8116
curE051a,14,Easy,0.0,right,4998,4698,9696,1,0,1,2,2,4,1,0,1,1,272,0,200,200
curE051a,15,Easy,1.0,right,7580,1934,9514,2,0,2,10,0,10,0,5,4,9,130,1244,850,2094
curE051a,16,Easy,1.0,left,13874,2650,16524,1,0,1,7,2,9,2,5,1,6,372,710,214,924
curE051a,19,Medium,0.0,left,6614,2584,9198,1,0,1,3,5,8,4,1,2,3,842,156,320,476
curE051a,21,Medium,0.0,left,7830,1732,9562,1,0,1,5,2,7,2,5,0,5,346,852,0,852
curE051a,22,Medium,0.0,left,6156,1924,8080,1,0,1,10,0,10,0,8,0,8,326,1584,0,1584
curE051a,25,Easy,0.0,left,8864,2448,11312,3,2,5,19,7,26,5,12,5,17,2264,5986,1250,7236
curE051a,26,Easy,1.0,right,15802,7158,22960,3,2,5,23,11,34,8,12,7,19,4300,4300,3282,7582
curE051a,27,Easy,0.0,right,15108,1866,16974,3,0,3,25,5,30,4,19,5,24,1710,6796,1202,7998
curE051a,30,Easy,0.0,right,8242,3914,12156,2,2,4,14,8,22,5,12,1,13,2920,2982,302,3284
curE051a,43,Medium,1.0,left,16722,5966,22688,3,1,4,40,16,56,14,11,21,32,6256,3866,8402,12268
curE051a,48,Hard,1.0,right,12158,10036,22194,2,1,3,18,13,31,12,14,2,16,6220,5556,600,6156
curE051a,50,Hard,0.0,left,9076,1748,10824,2,1,3,15,5,20,3,6,9,15,912,1642,3642,5284
curE051a,57,Hard,1.0,right,15110,1366,16476,4,0,4,26,3,29,2,13,11,24,1828,4990,5354,10344
curE052a,7,Easy,0.0,right,3712,2448,6160,3,0,3,9,6,15,5,5,3,8,2442,1670,1002,2672
curE052a,10,Easy,1.0,right,2516,1900,4416,2,0,2,6,4,10,3,3,2,5,1916,1066,574,1640
curE052a,11,Easy,1.0,right,2328,1166,3494,2,1,3,5,4,9,2,2,2,4,1560,506,568,1074
curE052a,12,Medium,1.0,right,7880,10038,17918,4,1,5,17,13,30,10,6,10,16,3888,1948,4176,6124
curE052a,14,Medium,1.0,right,2330,7066,9396,2,1,3,6,14,20,10,3,2,5,4090,1090,348,1438
curE052a,20,Medium,1.0,left,2744,1298,4042,2,0,2,8,3,11,2,2,5,7,1292,900,1082,1982
curE052a,22,Medium,0.0,right,7530,5582,13112,3,0,3,11,10,21,8,4,5,9,3810,1512,1996,3508
curE052a,23,Easy,1.0,right,4080,4050,8130,3,1,4,10,9,19,6,4,5,9,1984,1298,1880,3178
curE052a,24,Easy,1.0,left,18806,1616,20422,4,0,4,19,3,22,2,11,6,17,1554,5190,2668,7858
curE052a,25,Medium,1.0,right,4844,4398,9242,3,0,3,11,7,18,6,6,4,10,3098,2630,1346,3976
curE052a,26,Medium,1.0,right,6276,2682,8958,3,0,3,12,7,19,6,5,6,11,2644,2548,2340,4888
curE052a,27,Hard,0.0,right,16476,10038,26514,4,0,4,31,18,49,18,10,19,29,4620,3578,8342,11920
curE052a,32,Hard,1.0,right,13096,2898,15994,4,0,4,15,6,21,5,7,5,12,2748,1958,1390,3348
curE052a,33,xHard,0.0,right,3164,950,4114,3,1,4,7,2,9,1,4,2,6,900,1020,1126,2146
