session,trialno,difficulty,accuracy,sideChosen,durExplorationPeriod,durDecisionPeriod,durPeriodTotal,SwitchesExplorationPeriod,SwitchesDecisionPeriod,NbSwitches,FixNbExplorationPeriod,FixNbDecisionPeriod,FixNb,FixNbInTDecision,FixNbInLExploration,FixNbInRExploration,FixNbBottomExploration,LookDurInTDecision,LookDurInLExploration,LookDurInRExploration,LookDurBottomExploration,prior_accuracy
curE008a,18,Easy,1.0,left,7962,9448,17410,2,2,4,5,17,22,12,1,3,4,5232,280,2116,2396,0.0
curE008a,20,Easy,0.0,left,7694,8682,16376,2,1,3,14,16,30,15,8,5,13,6912,3414,2020,5434,
curE008a,21,Easy,0.0,left,3198,2000,5198,1,0,1,9,2,11,1,8,0,8,822,2622,0,2622,0.0
curE009a,9,Easy,1.0,left,3798,3032,6830,1,0,1,10,9,19,8,0,9,9,3032,0,2714,2714,
curE009a,10,Easy,1.0,right,8758,3150,11908,3,1,4,24,7,31,5,16,7,23,2550,4588,2108,6696,1.0
curE009a,11,Medium,0.0,left,9524,3232,12756,2,0,2,18,7,25,6,1,14,15,3096,310,3904,4214,1.0
curE009a,12,Medium,0.0,left,3316,4564,7880,2,2,4,8,8,16,4,2,5,7,3434,704,1472,2176,0.0
curE009a,14,Easy,1.0,right,2726,2016,4742,1,0,1,6,4,10,3,3,2,5,1900,1188,480,1668,
curE009a,15,Easy,1.0,right,2998,3500,6498,2,1,3,7,10,17,7,4,2,6,2814,1572,486,2058,1.0
curE009a,16,Medium,1.0,left,4476,1016,5492,2,1,3,13,3,16,1,7,4,11,428,1874,1226,3100,1.0
curE009a,34,Easy,1.0,right,4514,2350,6864,3,0,3,10,6,16,5,8,0,8,2486,3170,0,3170,
curE009a,35,Easy,1.0,left,19844,10074,29918,3,0,3,18,20,38,20,2,11,13,6240,1620,7556,9176,1.0
curE009a,37,Medium,0.0,right,6114,2684,8798,3,0,3,16,6,22,5,4,11,15,2678,1050,3898,4948,
curE009a,38,Medium,0.0,right,5442,2232,7674,3,1,4,13,6,19,4,7,5,12,2180,1642,2236,3878,0.0
curE009a,39,Easy,0.0,right,2676,10042,12718,1,0,1,7,21,28,21,0,5,5,8726,0,1658,1658,0.0
curE009a,40,Easy,1.0,right,5046,1800,6846,2,0,2,14,5,19,4,3,9,12,1914,710,2968,3678,0.0
